neighborhood,name,slug,tag,url,fb_list
Santa Cruz,Jack O'Neill Restaurant & Lounge,jack-o-neill-restaurant-lounge,DIRECT,https://www.jackoneillrestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,Y
Santa Cruz,Low Tide Bar & Grill,low-tide-bar-grill,DIRECT,https://labahiahotel.com/,Y
Santa Cruz,"STAGNARO BROS. SEAFOOD, INC.",stagnaro-bros-seafood-inc,DIRECT,https://www.stagnarobrothers.com/,Y
Santa Cruz,Venus Spirits Cocktails & Kitchen | Westside,venus-spirits-cocktails-kitchen-westside,DIRECT,https://www.venusspirits.com/,Y
Santa Cruz,Venus Spirits Tasting Room,venus-spirits-tasting-room,DIRECT,http://www.venusspirits.com/,Y
Seabright,Aldo's,aldo-s,DIRECT,http://www.aldossantacruz.com/,Y
Soquel,Beer Thirty Bottle Shop & Pour House,beer-thirty-bottle-shop-pour-house,DIRECT,http://www.beerthirtysantacruz.com/,""
Soquel,Buzzo's Wood Fired Pizzeria,buzzo-s-wood-fired-pizzeria,DIRECT,https://www.buzzopizza.com/,""
Soquel,Carpo's Restaurant,carpo-s-restaurant,DIRECT,https://carposrestaurant.com/?utm_source=google,""
Soquel,Discretion Brewing,discretion-brewing,DIRECT,http://www.discretionbrewing.com/,""
Soquel,Fuji Sushi,fuji-sushi,DIRECT,https://www.fujisoquel.com/,""
Soquel,HOME,home,DIRECT,http://www.homesoquel.com/,""
