city,action,venue,primary_type,reviews,website,reason
"san-mateo",hide,"Soon's Tofu & Korean BBQ",korean_restaurant,322,"http://www.soonstofu.com/","zero-HH cuisine (korean_restaurant)"
"san-mateo",hide,"The Noodle Shop",chinese_restaurant,301,"https://thenoodleshopsm.com/","zero-HH cuisine (chinese_restaurant)"
"san-mateo",hide,"Young Can Wok Chinese Bistro",chinese_restaurant,220,"https://youngcanwokchinesebistro.com/?utm_source=google","zero-HH cuisine (chinese_restaurant)"
"san-mateo",hide,"Yuanbao Jiaozi",chinese_restaurant,213,"https://dinfo.me/yuanbaojiaozitogo.com/","zero-HH cuisine (chinese_restaurant)"
"san-mateo",hide,"Gin Mon Chinese Restaurant",chinese_restaurant,191,"http://www.ginmonbelmont.com/","zero-HH cuisine (chinese_restaurant)"
"san-mateo",hide,"Fortune Star | Chinese Restaurant (#1 Mandarin Style)",chinese_restaurant,94,"https://www.fortunestarchineseca.com/","zero-HH cuisine (chinese_restaurant)"
"san-mateo",hide,"Little Hunan Restaurant",chinese_restaurant,67,"https://www.smorefood.com/order-online/little-hunan-restaurant-san-mateo-94402-vjldbl35?utm_source=gmb&utm_medium=website","zero-HH cuisine (chinese_restaurant)"
"santa-barbara",hide,"Noodle City | Vietnamese Restaurant",vietnamese_restaurant,561,"http://noodlecitygoleta.com/","zero-HH cuisine (vietnamese_restaurant)"
"santa-barbara",hide,"Meet Up Chinese Cuisine 遇见音乐餐厅",chinese_restaurant,500,"http://www.meetuprestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"santa-barbara",hide,"China King restaurant",chinese_restaurant,374,"https://www.chinakinggoleta.com/","zero-HH cuisine (chinese_restaurant)"
"santa-barbara",hide,"Mandarin Palace",chinese_restaurant,371,"https://www.mandarinpalacetogo.com/","zero-HH cuisine (chinese_restaurant)"
"santa-barbara",hide,"China Palace Restaurant",chinese_restaurant,308,"https://chinapalaceca.com/","zero-HH cuisine (chinese_restaurant)"
"santa-barbara",hide,"Szechuan Restaurant",chinese_restaurant,187,"http://www.szechuanrestaurantsb.com/","zero-HH cuisine (chinese_restaurant)"
"scottsdale",hide,"Flo's",chinese_restaurant,1356,"https://madebyflo.com/","zero-HH cuisine (chinese_restaurant)"
"scottsdale",hide,"Pei Wei Asian Kitchen",chinese_restaurant,909,"https://www.peiwei.com/arizona/236-scottsdale","zero-HH cuisine (chinese_restaurant)"
"scottsdale",hide,"New China Gate",chinese_restaurant,534,"https://www.ordernewchinagate.com/","zero-HH cuisine (chinese_restaurant)"
"scottsdale",hide,"Slanted Rice",vietnamese_restaurant,529,"http://www.slantedrice.com/","zero-HH cuisine (vietnamese_restaurant)"
"scottsdale",hide,"Jade Palace Restaurant",chinese_restaurant,475,"http://pinnacle.jadepalace-az.com/","zero-HH cuisine (chinese_restaurant)"
