reason,name,primary_type,reviews,address,website
out-of-area,"Ichiban Teriyaki","japanese_restaurant",297,"8425 S Hosmer St, Tacoma, WA 98444, USA",
out-of-area,"Ichiban Teriyaki and Wok","asian_restaurant",64,"4500 Pacific Hwy E # I, Fife, WA 98424, USA","https://www.clover.com/online-ordering/ichiban-teriyaki-fife"
out-of-area,"Jersey's Sports Bar","sports_bar",618,"35509 21st Ave SW, Federal Way, WA 98023, USA","https://jerseyssportsbar.blizzfull.com/"
out-of-area,"Joy Sushi & Teriyaki Bridgeport","asian_restaurant",653,"1905 Bridgeport Way W Unit 100, University Place, WA 98466, USA","http://1988seattle.com/"
out-of-area,"Kamlai Thai Cuisine","restaurant",344,"8425 S Hosmer St Suite D, Tacoma, WA 98444, USA","https://www.kamlaithaicuisine.com/"
out-of-area,"La Oveja Negra Eatery","mexican_restaurant",122,"806 72nd St E, Tacoma, WA 98404, USA","http://orderlaovejanegraeatery.mobile-webview4.com/"
out-of-area,"La Salsa Mexican Food (B&I)","restaurant",245,"8012 S Tacoma Way, Tacoma, WA 98499, USA","http://lasalsa.squarespace.com/"
out-of-area,"Latitude 84","sports_bar",542,"8401 S Hosmer St, Tacoma, WA 98444, USA","https://www.facebook.com/latitude84/"
out-of-area,"Los Tamales","mexican_restaurant",1044,"1018 72nd St E, Tacoma, WA 98404, USA","https://www.facebook.com/Lostamalestacoma"
out-of-area,"Macaluso's Italian Restaurant","italian_restaurant",998,"5101 N Pearl St, Ruston, WA 98407, USA","https://macalusositalianrestaurant.com/"
out-of-area,"Maria's Cocina Mexicana","mexican_restaurant",738,"3820 Bridgeport Way W, University Place, WA 98466, USA","http://mariasup.com/"
out-of-area,"Meadow Teriyaki","japanese_restaurant",206,"5320 66th St W, University Place, WA 98467, USA",
out-of-area,"Mediterranean Gyro Grill","mediterranean_restaurant",841,"34024 Hoyt Rd SW, Federal Way, WA 98023, USA","https://gyrogrillrestaurants.com/federal-way/"
out-of-area,"Milton Lodge Bar and Grill","bar",402,"7320 Pacific Hwy E, Milton, WA 98354, USA",
out-of-area,"Milton Tavern","bar",80,"7320 Pacific Hwy E, Milton, WA 98354, USA","http://themiltontavern.com/"
out-of-area,"Ms. Jane's Fine Dining","fine_dining_restaurant",125,"4411 Pacific Hwy E, Fife, WA 98424, USA","https://msjanes.com/"
out-of-area,"Nightclub","bar",1,"Tacoma, WA 98402, USA",
out-of-area,"Nón Lá","vietnamese_restaurant",278,"35501 21st Ave SW, Federal Way, WA 98023, USA","http://www.nonlawa.com/"
out-of-area,"North End on Pearl","bar",226,"5037 N Pearl St, Ruston, WA 98407, USA","http://northendonpearl.com/"
out-of-area,"OMG Pho & Teriyaki","restaurant",95,"3556 Market Pl W Suite 111, University Place, WA 98466, USA",
out-of-area,"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant",392,"3828 Bridgeport Way W, University Place, WA 98466, USA","https://locations.papamurphys.com/wa/university-place/3828-bridgeport-way?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzA2MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
out-of-area,"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant",355,"2154 SW 336th Way, Federal Way, WA 98023, USA","https://locations.papamurphys.com/wa/federal-way/2154-south-west-336th-street?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0Mjk4NTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
out-of-area,"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant",619,"8225 Pacific Ave, Tacoma, WA 98408, USA","https://locations.papamurphys.com/wa/tacoma/8225-pacific-avenue?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzA0NzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
out-of-area,"Philly N Smash : Cheesesteaks & Smash Burgers || Milkshakes","american_restaurant",106,"4802 Pacific Hwy E suite C, Fife, WA 98424, USA",
out-of-area,"Pho My Chau 2 Restaurant","vietnamese_restaurant",269,"1901 SW Campus Dr, Federal Way, WA 98023, USA","https://www.facebook.com/mychau8776"
out-of-area,"Pho Tai Restaurant Fife","vietnamese_restaurant",564,"5306 Pacific Hwy E Suite C, Fife, WA 98424, USA","https://www.photaififewa.com/"
out-of-area,"Pho Tasty","vietnamese_restaurant",338,"35419 21st Ave SW, Federal Way, WA 98023, USA","https://www.facebook.com/PhoTastyUSA/"
out-of-area,"Pimienta | Bistro and Bar","restaurant",493,"34029 Hoyt Rd SW, Federal Way, WA 98023, USA","http://pimientabistro.com/"
out-of-area,"Pizza Pizazz - University Place","pizza_restaurant",112,"5510 Orchard St W B6, University Place, WA 98467, USA","https://www.pizzapizazz.net/pizza-delivery-near-me/university-place"
out-of-area,"Pizza, Pasta & Co. by Gino's","pizza_restaurant",237,"4624 SW 320th St, Federal Way, WA 98023, USA","https://ginosrestaurants.co/gino-pizza-pasta-co/"
out-of-area,"POKE POP","hawaiian_restaurant",755,"2013 Mildred St W, Fircrest, WA 98466, USA","https://www.pokepopco.com/"
out-of-area,"Poodle Dog Restaurant","family_restaurant",4135,"1522 54th Ave E, Fife, WA 98424, USA","http://poodledogrestaurant.com/"
out-of-area,"Puerto Vallarta","mexican_restaurant",1164,"2002 SW Campus Dr, Federal Way, WA 98023, USA","https://pvfamilia.com/location-twin-lakes/"
out-of-area,"Red Wagon Burgers University Place","family_restaurant",57,"5510 Orchard St W B-3, University Place, WA 98467, USA",
out-of-area,"Salted Rim Bar & Kitchen","bar",52,"3609 Market Pl W, University Place, WA 98466, USA","http://www.saltedrim253.com/"
out-of-area,"Sapporo & Sushi Restaurant","japanese_restaurant",918,"4803 Pacific Hwy E, Fife, WA 98424, USA","https://sapporojapaneserestaurant.menu11.com/"
out-of-area,"Sapporo Japanese Steakhouse","japanese_restaurant",1640,"3810 Bridgeport Way W, University Place, WA 98466, USA","http://www.sapporosteakhouse.com/"
out-of-area,"Scratch Pizza and billiards","bar",64,"5219 Pacific Hwy E, Fife, WA 98424, USA",
out-of-area,"Secret Burger Kitchen Tacoma Smash Burgers","restaurant",1166,"8402 S Hosmer St, Tacoma, WA 98444, USA","http://secretburgerkitchen.com/"
out-of-area,"Slice Garden (formerly Salamone's Pizza & Pasta)","restaurant",98,"1039 Regents Blvd, Fircrest, WA 98466, USA","http://slicegardenwa.com/"
out-of-area,"Slice of Life","pizza_restaurant",401,"8045 Pacific Ave, Tacoma, WA 98408, USA","https://www.sliceoflifepizzatac.com/"
out-of-area,"Smokey Joe's Cigar Lounge","lounge_bar",1461,"4411 Pacific Hwy E, Fife, WA 98424, USA","http://www.smokeyjoescigarlounge.com/"
out-of-area,"Spring Lake Cafe","american_restaurant",620,"616 Regents Blvd, Fircrest, WA 98466, USA","http://springlakecafefircrest.com/"
out-of-area,"Standerts","bar",3,"1025 Princeton St, Fircrest, WA 98466, USA",
out-of-area,"Steven and Sons Food","restaurant",179,"1506 54th Ave E, Fife, WA 98424, USA",
