name,primary_type,address,website_url,reviews,rating,business_status,processed
"Tesoro Latin Kitchen & Cantina","restaurant","4420 N Oracle Rd, Tucson, AZ 85705, USA","https://tesorotucson.com/",514,4.2,"OPERATIONAL",linked
"Cowpony Bar","bar","6510 E Tanque Verde Rd, Tucson, AZ 85715, USA","http://www.cowponybar.com/",509,4.4,"OPERATIONAL",
"Bob Dobb's Bar & Grill","bar_and_grill","2501 E 6th St, Tucson, AZ 85716, USA","http://www.bobdobbs-tucson.com/",507,4.2,"OPERATIONAL",
"Viva Mexican Food","mexican_restaurant","1065 S Craycroft Rd, Tucson, AZ 85711, USA","https://vivamexicanfood.com/",506,3.7,"OPERATIONAL",
"Chicago Bar","bar","5954 E Speedway Blvd, Tucson, AZ 85712, USA","http://chicagobar-tucson.com/",504,4.2,"OPERATIONAL",
"Finnegan's Pub","restaurant","7051 S Tucson Blvd, Tucson, AZ 85756, USA","http://doubletree3.hilton.com/en/hotels/arizona/doubletree-suites-by-hilton-hotel-tucson-airport-TUSTADT/dining/index.html",504,3.8,"OPERATIONAL",linked
"Las Originales Carnitas el Michoacano","mexican_restaurant","5256 S Nogales Hwy, Tucson, AZ 85706, USA","https://www.facebook.com/carnitasel.michoacano.3/",503,4.6,"OPERATIONAL",
"Aspasia Mediterranean","mediterranean_restaurant","2310 N Country Club Rd, Tucson, AZ 85716, USA","https://ez-qr.menu/aspasia-mediterranean/",502,4.7,"OPERATIONAL",
"Wing Factory","chicken_wings_restaurant","6330 E Golf Links Rd #132, Tucson, AZ 85730, USA","http://www.wingfactorytucson.com/",501,4.3,"OPERATIONAL",linked
"Maria Bonita Mexican Kitchen","mexican_restaurant","2708 E Fort Lowell Rd, Tucson, AZ 85716, USA","https://mariabonitamexicankitchenaz.com/",499,4.3,"OPERATIONAL",linked
"Frankie's South Philly Cheesesteaks","american_restaurant","3780 W Ina Rd #184, Tucson, AZ 85741, USA","http://frankiescheesesteaks.com/",486,4.4,"OPERATIONAL",linked
"Benny's Mexican Food","mexican_restaurant","2702 E Grant Rd, Tucson, AZ 85716, USA","https://bennystucson.com/",481,4.5,"OPERATIONAL",
"Ramiro's Mexican Food","restaurant","45 W Valencia Rd, Tucson, AZ 85706, USA","http://orderramirosmexicanfood.mobile-webview7.com/",481,4.3,"OPERATIONAL",
"The Blacktop Grill (Award-Winning Street Food)","mexican_restaurant","8300 N Thornydale Rd #120, Tucson, AZ 85741, USA","https://theblacktopgrill.com/?utm_source=google",480,4.6,"OPERATIONAL",linked
"Redbird Scratch Kitchen + Bar (Sam Hughes)","american_restaurant","2515 E 6th St, Tucson, AZ 85716, USA","http://redbirdrestaurants.com/",477,4.8,"OPERATIONAL",
"Doughbird","american_restaurant","2960 N Campbell Ave, Tucson, AZ 85719, USA","https://www.eatdoughbird.com/locations/tucson-az/",474,4.2,"OPERATIONAL",linked
"O Sushi Restaurant","sushi_restaurant","4689 E Speedway Blvd #4633, Tucson, AZ 85712, USA","https://www.facebook.com/osushitucson",473,4.6,"OPERATIONAL",
"Le Buzz Plaza Coffee Co","restaurant","2930 N Swan Rd, Tucson, AZ 85712, USA","https://lebuzzcaffe.com/",470,4.6,"OPERATIONAL",
"Los Nopales Restaurant","mexican_restaurant","2475 S Harrison Rd, Tucson, AZ 85748, USA",,467,4.5,"OPERATIONAL",
"Los Beto's Mexican Food","mexican_restaurant","3640 S 6th Ave, Tucson, AZ 85713, USA",,467,3.9,"OPERATIONAL",
"Penelope Pizza","pizza_restaurant","800 N Kolb Rd, Tucson, AZ 85710, USA","http://www.penelopepizza.com/",463,4.5,"OPERATIONAL",linked
"Kahu Hawaiian BBQ","hawaiian_restaurant","1570 E Tucson Marketplace Blvd, Tucson, AZ 85713, USA",,458,4.6,"OPERATIONAL",
"The Jackrabbit Lounge","bar_and_grill","2000 N Oracle Rd, Tucson, AZ 85705, USA","https://thejackrabbitlounge.com/",457,4.7,"OPERATIONAL",linked
"KEBAB G Mediterranean Restaurant","mediterranean_restaurant","903 E Fort Lowell Rd, Tucson, AZ 85719, USA","http://kebabgmediterraneanfood.com/",454,4.3,"OPERATIONAL",
"Proof Artisanal Pizza & Pasta","pizza_restaurant","4340 N Campbell Ave, Tucson, AZ 85718, USA",,454,4.1,"OPERATIONAL",
"KOGI Korean BBQ","korean_restaurant","4951 E Grant Rd #115, Tucson, AZ 85712, USA",,453,4.5,"OPERATIONAL",linked
"Angelo's Pizza & Gyros","pizza_restaurant","2410 W Ruthrauff Rd #170, Tucson, AZ 85705, USA","http://www.angelospizzatucson.com/",449,4.5,"OPERATIONAL",
"Diamond Cafe","steak_house","7350 S Nogales Hwy, Tucson, AZ 85756, USA","http://www.ddcaz.com/tucson/dining-nightlife/diamond-cafe/",445,4.2,"OPERATIONAL",linked
"Hideout: The Original","bar_and_grill","3000 S Mission Rd, Tucson, AZ 85713, USA","https://acrossanddown.net/hideout-the-original",445,4.1,"OPERATIONAL",linked
"Taquería El Rápido","taco_restaurant","301 W 29th St, Tucson, AZ 85713, USA","https://taqueriaelrapidoaz.com/",443,4.8,"OPERATIONAL",
"Buggy Wheel Bar and Grill","bar","3156 E Drexel Rd, Tucson, AZ 85706, USA",,439,4.0,"OPERATIONAL",linked
"The Landing","american_restaurant","8195 N Oracle Rd, Oro Valley, AZ 85704, USA","https://landingov.com/?utm_source=google",438,4.2,"OPERATIONAL",linked
"Spice Garden Indian Cuisine","restaurant","5815 N Arizona Pavilions Dr #155, Tucson, AZ 85743, USA","https://spicegardenaz.com/",435,4.4,"OPERATIONAL",linked
"Bazil's","italian_restaurant","4777 E Sunrise Dr, Tucson, AZ 85718, USA","http://bazilstucson.com/",433,4.3,"OPERATIONAL",linked
"Falora Pizza","pizza_restaurant","3000 E Broadway Blvd, Tucson, AZ 85716, USA","http://www.falora.com/",431,4.4,"OPERATIONAL",
"Kotu Korean BBQ","korean_barbecue_restaurant","4545 N Oracle Rd #121, Tucson, AZ 85705, USA","https://kotukbbq.flipdish.menu/?utm_source=GBP.website&utm_medium=GBP&utm_campaign=br12301-website",427,4.4,"OPERATIONAL",linked
"Indian Twist Airport","indian_restaurant","6801 S Tucson Blvd, Tucson, AZ 85756, USA","http://indiantwistairport.com/",426,4.7,"OPERATIONAL",linked
"Piezano's","pizza_restaurant","2921 E Fort Lowell Rd, Tucson, AZ 85716, USA","https://www.piezanostucson.com/?utm_source=gbp",426,4.4,"OPERATIONAL",
"Eddie's","bar","8150 E 22nd St, Tucson, AZ 85710, USA",,426,4.4,"OPERATIONAL",
"Phở Saigon","vietnamese_restaurant","5475 S Calle Santa Cruz #141, Tucson, AZ 85706, USA","https://www.phosaigontucson.com/",425,3.9,"OPERATIONAL",
