name,flag,nwindows,days,st,et,source_url
Pacific to Palouse Wine Bar,EVERYDAY,2,1|2|3|4|5|6|7,15:00:00,17:00:00,http://pacifictopalouse.com/
Pacific to Palouse Wine Bar,EVERYDAY,2,1|2|3|4|5|6|7,15:00:00,21:00:00,http://pacifictopalouse.com/
Pete's Pizza,EVERYDAY,1,1|2|3|4|5|6|7,11:00:00,21:00:00,https://www.petesspokane.com/locations-hours
Pete's Pizza,EVERYDAY,1,1|2|3|4|5|6|7,11:00:00,21:00:00,https://www.petesspokane.com/locations-hours
Pure Northwest,EVERYDAY,1,1|2|3|4|5|6|7,15:00:00,18:00:00,https://purepacificnorthwest.com/
Red Wheel Bar & Grill,EVERYDAY,3,1|2|3|4|5|6|7,11:00:00,(none),https://www.redwheelspokane.com/menu
Red Wheel Bar & Grill,EVERYDAY,3,1|2|3|4|5|6|7,09:00:00,(none),https://www.redwheelspokane.com/menu
Remedy Kitchen and Tavern,EVERYDAY,1,1|2|3|4|5|6|7,14:00:00,(none),http://remedyspokane.com/menu/
Republic Pi,EVERYDAY,3,1|2|3|4|5|6|7,11:00:00,22:00:00,http://republicpi.com/
Republic Pi,EVERYDAY,3,1|2|3|4|5|6|7,14:00:00,17:00:00,http://republicpi.com/
Republic Pi,EVERYDAY,3,1|2|3|4|5|6|7,11:00:00,21:00:00,http://republicpi.com/
RÜT Bar & Kitchen,EVERYDAY,1,1|2|3|4|5|6|7,15:00:00,17:00:00,https://www.rutspokane.com/menu
Spencer's for Steaks & Chops,EVERYDAY,2,1|2|3|4|5|6|7,15:00:00,17:00:00,https://www.spencersspokane.com/menus/
Taco Time,EVERYDAY,2,1|2|3|4|5|6|7,10:00:00,20:00:00,https://www.tacotime.com/stores/6399?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb
Taco Time,EVERYDAY,2,1|2|3|4|5|6|7,10:00:00,19:00:00,https://www.tacotime.com/stores/6399?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb
Thai Bamboo Restaurant,EVERYDAY,1,1|2|3|4|5|6|7,15:00:00,18:00:00,https://thaibamboorestaurant.com/drink-menu/
The Backyard Public House,EVERYDAY,2,1|2|3|4|5|6|7,14:00:00,17:00:00,https://backyardspokane.com/
The Backyard Public House,EVERYDAY,2,1|2|3|4|5|6|7,23:00:00,14:00:00,https://backyardspokane.com/
The Centennial Restaurant & Bar,EVERYDAY,1,1|2|3|4|5|6|7,14:00:00,17:00:00,https://www.davenporthotelcollection.com/the-centennial/restaurants/the-centennial-restaurant/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp
Yo Dumplings,EVERYDAY,1,1|2|3|4|5|6|7,23:00:00,20:00:00,https://yodumplings.com/yo-menu
Buffalo Wild Wings,ok,1,1|2|3|4|5,15:00:00,18:00:00,https://www.buffalowildwings.com/happy-hour
Chef Lu's Asian Bistro,ok,1,2|3|4|5,11:00:00,15:00:00,https://www.chefluasianbistro.com/menu-dine-in
Chili's Grill & Bar,ok,3,1|2|3|4|7,11:00:00,22:00:00,https://www.chilis.com/locations/us/washington/spokane/spokane-downtown?utm_source=google&utm_medium=local&utm_campaign=Chilis
Chili's Grill & Bar,ok,3,1|2|3|4|7,11:00:00,00:00:00,https://www.chilis.com/locations/us/washington/spokane/spokane-downtown?utm_source=google&utm_medium=local&utm_campaign=Chilis
Chili's Grill & Bar,ok,3,1|2|3|4|7,15:00:00,18:00:00,https://www.chilis.com/locations/us/washington/spokane/spokane-downtown?utm_source=google&utm_medium=local&utm_campaign=Chilis
Française Spokane | French,ok,3,1|2|3|4|5,06:30:00,14:00:00,https://eatgoodgroup.com/happy-hour/
Garland Pub & Grill,ok,1,1|2|3|4|5,12:00:00,16:00:00,http://www.garlandpubandgrill.com/index2.html
Globe,ok,1,4|5|6,20:00:00,02:00:00,http://www.globespokane.com/
Happiness Chinese Restaurant,ok,1,1|2|3|4|5,11:00:00,14:30:00,https://www.happinesswatogo.com/07am5tla/happiness-chinese-restaurant-spokane-99202/menu
Heritage Bar & Kitchen,ok,1,1|2|3|4,15:00:00,18:00:00,https://www.heritagebarandkitchen.com/
Hi Neighbor Tavern,ok,1,1|2|3|4|5,09:00:00,02:00:00,https://hineighbortavern.com/spokane-monroe-hi-neighbor-tavern-happy-hours-specials
Inland Cider Mill,ok,1,3|4,16:00:00,18:00:00,https://inlandcidermill.com/hours/home-2/
Izumi Sushi & Asian Bistro,ok,2,7,19:00:00,20:00:00,https://www.izumi-spokane.com/menu#special-roll
"MacKenzie River Pizza, Grill & Pub",ok,1,1|2|3|4|5,14:00:00,17:00:00,https://locations.mackenzieriverpizza.com/locations/wa/spokane/2910-e-57th-ave
Mamma Mia's Italian Restaurant & Catering,ok,1,1|2|3|4,16:00:00,20:00:00,http://www.mammamiaspokane.com/
PJ’s Pub,ok,2,7,15:00:00,02:00:00,https://www.pjspubspokane.com/
PJ’s Pub,ok,2,1|2|3|4|5|6,15:00:00,19:00:00,https://www.pjspubspokane.com/
Red Wheel Bar & Grill,ok,3,2|3|4|7,15:00:00,17:00:00,https://www.redwheelspokane.com/
Spencer's for Steaks & Chops,ok,2,1|2|3|4|5,15:00:00,17:00:00,https://www.spencersspokane.com/menus/
The Boiler Room,ok,2,1|2|3|4|7,11:00:00,22:00:00,https://boilerroompizza.com/menu-items/drink-specials/
The Boiler Room,ok,2,1|2|3|4|7,11:00:00,21:00:00,https://boilerroompizza.com/menu-items/drink-specials/
ZOLA,ok,1,1|2|3|4|5|6,16:00:00,19:00:00,http://www.zolainspokane.com/
