reason,name,primary_type,address,website
chain,"MOD Pizza","pizza_restaurant","127 Serramonte Center Suite 660, Daly City, CA 94015, USA","https://locations.modpizza.com/usa/ca/daly-city/127-serramonte-center?utm_source=google&utm_medium=yext"
chain,"Panda Express","chinese_restaurant","86 Serramonte Center #703, Daly City, CA 94015, USA","https://www.pandaexpress.com/locations/ca/daly-city/417?utm_source=google_gbp&utm_medium=organic&utm_campaign=websitelink"
chain,"Panda Express","chinese_restaurant","701 Westlake Center, Daly City, CA 94015, USA","https://www.pandaexpress.com/locations/ca/daly-city/2212?utm_source=google_gbp&utm_medium=organic&utm_campaign=websitelink"
chain,"Panda Express","chinese_restaurant","3251 20th Ave #250h, San Francisco, CA 94132, USA","https://www.pandaexpress.com/locations/ca/san-francisco/112?utm_source=google_gbp&utm_medium=organic&utm_campaign=websitelink"
chain,"Pizza Hut Express","pizza_restaurant","233 Winston Dr, San Francisco, CA 94132, USA","https://locations.pizzahut.com/ca/san-francisco/233-winston-dr?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=315868"
chain,"Popeyes Louisiana Kitchen","restaurant","362 E Market St, Daly City, CA 94014, USA","https://www.popeyes.com/store-locator/store/restaurant_238167"
chain,"Round Table Pizza","pizza_restaurant","20 Chestnut Ave, South San Francisco, CA 94080, USA","https://www.roundtablepizza.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ"
chain,"Round Table Pizza","pizza_restaurant","1901 Junipero Serra Blvd, Daly City, CA 94014, USA","https://www.roundtablepizza.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ"
chain,"Round Table Pizza","pizza_restaurant","2660 San Bruno Ave, San Francisco, CA 94134, USA","https://www.roundtablepizza.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ"
chain,"Wingstop","chicken_wings_restaurant","22 Chestnut Ave, South San Francisco, CA 94080, USA","https://www.wingstop.com/location/wingstop-550-south-san-francisco-ca-94080/menu?y_source=1_NTUyMDY2NzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
chain,"Wingstop","chicken_wings_restaurant","227 Lake Merced Blvd, Daly City, CA 94015, USA","https://www.wingstop.com/location/wingstop-517-daly-city-ca-94015/menu?y_source=1_NTUyMDY2NjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
chain,"Wingstop","chicken_wings_restaurant","2665 Geneva Ave, Daly City, CA 94014, USA","https://www.wingstop.com/location/wingstop-2495-daly-city-ca-94014/menu?y_source=1_MTA0NzMxNzQ5Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
chain,"Wingstop","chicken_wings_restaurant","1507 Sloat Blvd, Lakeshore Plaza, San Francisco, CA 94132, USA","https://www.wingstop.com/location/wingstop-2143-san-francisco-ca-94132/menu?y_source=1_NTYwODIzNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
format,"Barrera’s Taqueria Taco Truck","mexican_restaurant","801 1/2 Linden Ave, South San Francisco, CA 94080, USA",
format,"Daly Buffet","buffet_restaurant","1901 Junipero Serra Blvd A, Daly City, CA 94014, USA","https://dalybuffet.com/"
format,"El Palenque Taqueria","mexican_restaurant","245 Hillside Blvd, South San Francisco, CA 94080, USA",
format,"Food truck las pencas #1","mexican_restaurant","1655 Mission Rd, South San Francisco, CA 94080, USA",
format,"Guerrero's Taqueria #2","mexican_restaurant","713 Hickey Blvd, Pacifica, CA 94044, USA","https://www.guerrerostaqueria.com/"
