name,primary_type,address,website_url,reviews,rating,business_status,processed
"Dusty’s Hideaway","restaurant","723 E 34th St, Tacoma, WA 98404, USA","https://dustyshideaway.com/?utm_source=google",1023,4.4,"OPERATIONAL",
"Salamone’s Pizza","pizza_restaurant","24 N Tacoma Ave, Tacoma, WA 98403, USA","https://www.salamonespizzeria.com/",977,4.5,"OPERATIONAL",
"La Perla del Mar VIP","mexican_restaurant","6812 Tacoma Mall Blvd, Tacoma, WA 98409, USA","https://laperladelmarvip.com/",957,4.1,"OPERATIONAL",linked
"Knapp's Restaurant","american_restaurant","2707 N Proctor St, Tacoma, WA 98407, USA","http://knappsrestaurant.com/",940,4.2,"OPERATIONAL",
"Restaurante Los Amigos","mexican_restaurant","6402 S Tacoma Way, Tacoma, WA 98409, USA",,918,4.1,"OPERATIONAL",linked
"Da Tiki Hut","hawaiian_restaurant","4427 6th Ave suite 101, Tacoma, WA 98406, USA","https://www.datikihut.com/",914,4.7,"OPERATIONAL",linked
"La Cà Bar","vietnamese_restaurant","606 S Junett St, Tacoma, WA 98405, USA","https://lacabar.com/",905,4.4,"OPERATIONAL",
"7 Seas Brewery and Taproom","brewery","2101 Jefferson Ave, Tacoma, WA 98402, USA","http://www.7seasbrewing.com/",904,4.6,"OPERATIONAL",linked
"Brewers Row","mexican_restaurant","3205 N 26th St, Tacoma, WA 98407, USA","http://www.brewersrowtacoma.com/",890,4.5,"OPERATIONAL",
"Crab King Cajun Boil & Bar","cajun_restaurant","3111 S 38th St, Tacoma, WA 98409, USA","https://www.crabkingwa.com/",888,4.2,"OPERATIONAL",
"Ivar's Seafood Bar","seafood_restaurant","1820 S Mildred St, Tacoma, WA 98465, USA","http://www.ivars.com/",842,4.3,"OPERATIONAL",linked
"Le Sel Bistro","restaurant","229 St Helens Ave, Tacoma, WA 98402, USA","http://www.leselbistro.com/",822,4.4,"OPERATIONAL",
"Fuego Nightclub","night_club","6409 6th Ave, Tacoma, WA 98406, USA","http://fuegoloungetacoma.com/",818,4.7,"OPERATIONAL",linked
"Happy Teriyaki #4","sushi_restaurant","2223 Pacific Ave, Tacoma, WA 98402, USA","https://happyteriyaki4tacoma.com/",815,4.3,"OPERATIONAL",
"Pho Tai","vietnamese_restaurant","3814 Pacific Ave #106, Tacoma, WA 98418, USA","http://photai-tacoma.com/",801,4.2,"OPERATIONAL",
"Pho Ever Tacoma","vietnamese_restaurant","1901 S 72nd St suite #4, Tacoma, WA 98408, USA","https://phoevertacoma.shop/",782,3.9,"OPERATIONAL",
"Pho Saigon House","vietnamese_restaurant","2505 S 38th St Ste A101, Tacoma, WA 98409, USA","http://www.phosaigonhouse.com/",769,4.6,"OPERATIONAL",
"Side Piece Kitchen","brunch_restaurant","4704 S Oakes St, Tacoma, WA 98409, USA","http://www.sidepiecekitchen.com/home",766,4.7,"OPERATIONAL",linked
"West End Pub","pub","3840 6th Ave, Tacoma, WA 98406, USA","http://westendpubtacoma.com/",756,4.1,"OPERATIONAL",
"Flying Boots & Wings","bar_and_grill","614 S 38th St, Tacoma, WA 98418, USA",,747,4.0,"OPERATIONAL",
"Woven Seafood & Chophouse","restaurant","3017 Ruston Way, Tacoma, WA 98402, USA","https://eatwoven.com/",744,4.2,"OPERATIONAL",linked
"Airport Tavern Music Hall","live_music_venue","5406 S Tacoma Way, Tacoma, WA 98409, USA","https://www.airporttavern.com/",730,4.5,"OPERATIONAL",linked
"Bob's Java Jive","bar","2102 S Tacoma Way, Tacoma, WA 98409, USA","http://www.bobsjavajive.com/",710,4.3,"OPERATIONAL",
"Dickey's Barbecue Pit","restaurant","5104 6th Ave STE 102, Tacoma, WA 98406, USA","https://www.dickeys.com/locations/Washington/Tacoma/6th-ave",700,3.7,"OPERATIONAL",
"BIGFOOT PIZZA & BAR","pizza_restaurant","1308 N I St, Tacoma, WA 98403, USA","https://www.bigfootpizzaandbar.com/",698,4.5,"OPERATIONAL",
"The Camp Bar","bar","1310 Tacoma Ave S, Tacoma, WA 98402, USA","http://www.thecampbar.com/",698,4.4,"OPERATIONAL",
"Copper & Salt Northwest Kitchen","restaurant","5125 Grand Loop, Ruston, WA 98407, USA","https://www.copperandsaltnw.com/",684,4.2,"OPERATIONAL",linked
"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant","1201 S Union Ave Suite 4, Tacoma, WA 98405, USA","https://locations.papamurphys.com/wa/tacoma/1201-south-union-avenue?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzA0MDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",679,4.4,"OPERATIONAL",
"Harbor City Tacoma Restaurant","chinese_restaurant","4816 Pacific Ave, Tacoma, WA 98408, USA","https://harborcitytacoma.com/",658,4.3,"OPERATIONAL",linked
"Mexico Magico Restaurant & Cantina","mexican_restaurant","1128 Broadway, Tacoma, WA 98409, USA","http://www.mexicomagicotacoma.com/",654,4.2,"OPERATIONAL",
"Yummy Pho & Teriyaki","asian_fusion_restaurant","5522 E McKinley Ave ste b, Tacoma, WA 98404, USA","https://yummyphoteriyaki.menu11.com/",654,4.5,"OPERATIONAL",
"Dragon's Crawfish","seafood_restaurant","750 S 38th St, Tacoma, WA 98418, USA",,653,4.5,"OPERATIONAL",
"LA ILUSION AL CARBON","mexican_restaurant","5013s S 56th St, Tacoma, WA 98409, USA","https://lailusionalcarbonwa.com/",652,4.7,"OPERATIONAL",
"VK Viet Kitchen Tacoma","vietnamese_restaurant","758 S 38th St, Tacoma, WA 98418, USA","https://vkvietkitchentacoma.com/",644,4.6,"OPERATIONAL",
"Fujiya Japanese Restaurant","sushi_restaurant","1130 Broadway Ste. 1, Tacoma, WA 98402, USA","https://www.facebook.com/fujiyatacoma/",638,4.5,"OPERATIONAL",
"Rosewood Cafe","restaurant","3323 N 26th St, Tacoma, WA 98407, USA","http://www.rosewoodcafe.com/",622,4.4,"OPERATIONAL",
"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant","3833 Pacific Ave, Tacoma, WA 98418, USA","https://locations.papamurphys.com/wa/tacoma/3833-pacific-avenue?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzA2MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",599,4.2,"OPERATIONAL",
"Manny's Place","restaurant","3814 N 26th St, Tacoma, WA 98407, USA","http://www.mannysplacetacoma.com/",590,4.7,"OPERATIONAL",linked
"Taco Time","mexican_restaurant","2915 6th Ave, Tacoma, WA 98406, USA","http://www.tacotimenw.com/",587,4.1,"OPERATIONAL",
"The Palace Kebab","persian_restaurant","430 E 25th St Suite 22, Tacoma, WA 98421, USA","http://www.thepalacekebab.com/",571,4.7,"OPERATIONAL",
"Oddfellas Pub & Eatery Tacoma","american_restaurant","5741 N 26th St, Tacoma, WA 98407, USA","https://www.oddfellaspubtacoma.com/",569,4.3,"OPERATIONAL",
"Woobling Korean BBQ - Tacoma Mall","restaurant","4502 S Steele St #1510, Tacoma, WA 98409, USA","http://woobling.com/",566,4.1,"OPERATIONAL",linked
"La Perla Del Mar","mexican_restaurant","3850 Pacific Ave, Tacoma, WA 98418, USA","https://www.doordash.com/store/934598?utm_source=mx_share",553,4.2,"OPERATIONAL",
"NANA THAI | STREET FOOD","restaurant","773 S 38th St, Tacoma, WA 98418, USA","https://nanathaiandteriyakiwa.smiledining.com/",535,4.8,"OPERATIONAL",
"Pint Defiance Specialty Beers & Taproom","bar","2049 Mildred St W, Tacoma, WA 98466, USA","http://www.pintdefiance.com/",528,4.8,"OPERATIONAL",
"Brass Lantern","bar_and_grill","6201 E McKinley Ave, Tacoma, WA 98404, USA",,517,4.4,"OPERATIONAL",
"Billy B's Pub & Grub","pub","1213 S 56th St, Tacoma, WA 98408, USA",,497,4.2,"OPERATIONAL",
"Balcon Express","restaurant","3102 6th Ave, Tacoma, WA 98406, USA","https://balconexpresstacomawa.com/",494,4.8,"OPERATIONAL",
"Indita Mia","mexican_restaurant","1715 Dock St, Tacoma, WA 98402, USA","http://www.inditamia.restaurant/",492,4.4,"OPERATIONAL",
