city,action,venue,primary_type,reviews,website,reason
"san-francisco",hide,"Eagle Cafe",restaurant,1505,"https://eaglecafe.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Woodhouse Fish Co.",seafood_restaurant,1504,"http://woodhousefish.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hard Knox Cafe",soul_food_restaurant,1471,"http://www.hardknoxcafe.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Blackwood",brunch_restaurant,1452,"http://blackwoodsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Roka Akor - San Francisco",steak_house,1427,"https://rokaakor.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Piccino",italian_restaurant,1392,"http://www.piccino.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"YakiniQ Korean BBQ",korean_barbecue_restaurant,1353,"http://www.yakiniqsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Little Skillet",soul_food_restaurant,1341,"https://www.littleskilletsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Trestle Restaurant",american_restaurant,1341,"http://trestlesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Souvla",greek_restaurant,1269,"https://www.souvla.com/location/nopa/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Betty Lou's Seafood & Grill",seafood_restaurant,1253,"https://bettylousseafoodandgrill.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Flores San Francisco",restaurant,1241,"https://floressf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzeria Delfina - Mission",pizza_restaurant,1236,"https://www.pizzeriadelfina.com/location/mission-district/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Acquolina",italian_restaurant,1217,"https://acquolina.us/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Za Pizza",pizza_restaurant,1204,"http://zapizzasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Lavash",persian_restaurant,1195,"http://www.lavashsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Lazy Bear",american_restaurant,1188,"http://www.lazybearsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Long Bridge Pizza Company",pizza_restaurant,1177,"http://www.longbridgepizza.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Rosamunde Sausage Grill",restaurant,1144,"http://www.rosamundesausagegrill.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"El Castillito",mexican_restaurant,1135,"https://www.taqueriaelcastillito.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kushi Tsuru",japanese_restaurant,1135,"http://www.kushitsuru.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Le Marais Bakery",french_restaurant,1121,"http://www.lemaraisbakery.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Fable",american_restaurant,1095,"https://fablesf.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Mel's Kitchen",diner,1059,"http://www.melsdrivein.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Rose's Cafe",italian_restaurant,1006,"http://rosescafesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The New Spot On Polk",restaurant,978,"http://thenewspotonpolk.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Little Chihuahua",mexican_restaurant,964,"https://www.thelittlechihuahua.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"IPOT",hot_pot_restaurant,961,"http://www.ipot.food/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Causwells",american_restaurant,952,"https://www.causwells.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzeria Delfina",pizza_restaurant,952,"https://www.pizzeriadelfina.com/location/pacific-heights/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Balompié Cafe #3",restaurant,947,"http://balompie3.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Sodini's Trattoria",italian_restaurant,943,"http://sodinisgreenvalley.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Proposition Chicken",chicken_restaurant,941,"http://propositionchicken.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Beit Rima",middle_eastern_restaurant,937,"http://beitrimasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Goodfellas Pizzeria & Grill (Halal)",pizza_restaurant,928,"https://www.goodfellaspizzasf.com/?utm_source=gbp","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Cha-Ya",vegan_restaurant,924,"http://chayasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Emmy's Spaghetti Shack",italian_restaurant,912,"https://sfspaghettishack.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Burma Love",asian_restaurant,908,"https://www.burmalove.co/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Luke's Lobster SoMa",seafood_restaurant,882,"https://lukeslobster.com/pages/soma?utm_source=google&utm_medium=places&utm_campaign=soma&utm_content=main","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Baby Blues BBQ",barbecue_restaurant,881,"http://bluessfq.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Niku Steakhouse",steak_house,862,"https://www.nikusteakhouse.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Brioche Bakery & Café",french_restaurant,849,"http://www.briochecafe.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Giorgio's Pizzeria",pizza_restaurant,843,"http://www.giorgiospizza.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Dancing Yak Restaurant & Bar",restaurant,838,"https://dancingyaksf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Wooden Spoon",brunch_restaurant,833,"https://www.woodenspoonsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"SF Hole In The Wall Pizza",pizza_restaurant,827,"http://sfholeinthewallpizza.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Bobo's",steak_house,818,"https://www.bobossf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Firefly Restaurant",american_restaurant,816,"http://www.fireflysf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Sam's Grill & Seafood Restaurant",seafood_restaurant,807,"http://www.samsgrill-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"AKIKOS",sushi_restaurant,806,"https://akikosrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"L'Ardoise Bistro",bistro,798,"http://www.lardoisesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"SPQR",italian_restaurant,798,"https://www.spqrsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Balompié Cafe #1",restaurant,789,"https://balompiecafe1.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Abacá",filipino_restaurant,786,"http://www.restaurantabaca.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Caffé Sport",italian_restaurant,785,"https://www.caffesportmenu.com/?utm_source=gbp","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Señor Sisig (SF Mission)",filipino_restaurant,783,"https://www.senorsisig.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Chapeau",french_restaurant,781,"http://www.chapeausf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"SF Kebab",mediterranean_restaurant,779,"http://sfkebab.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Atelier Crenn",restaurant,768,"http://www.ateliercrenn.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Brixton",american_restaurant,764,"https://www.brixtonsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Frances",american_restaurant,756,"http://www.frances-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Los Yaquis",mexican_restaurant,744,"https://losyaquisrestaurant.com/#","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Torraku Ramen - Lombard",ramen_restaurant,722,"http://torrakuramenlombard.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Chouquet's",french_restaurant,719,"http://www.chouquets.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Flying Ninja",sushi_restaurant,719,"http://flyingninjasushi.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Leopold's",austrian_restaurant,718,"https://www.gasthausleopolds.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pescatore",italian_restaurant,715,"https://www.hotelzoesf.com/dining","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pacific Cafe",seafood_restaurant,712,"http://pacificcafesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Outta Sight Pizza",pizza_restaurant,711,"https://www.thatsouttasight.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Ramenwell",ramen_restaurant,709,"https://ramenwell.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Cellarmaker House of Pizza - SF",pizza_restaurant,702,"https://cellarmakerbrewing.com/san-francisco/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pie Punks",pizza_restaurant,685,"http://www.piepunkssf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Firenze By Night",italian_restaurant,681,"http://www.firenzebynightsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Marcella's Lasagneria",italian_restaurant,681,"https://marcellaslasagna.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hot Sauce and Panko To Go",chicken_wings_restaurant,676,"http://hotsauceandpanko.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kitava",restaurant,671,"https://www.kitava.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"CyBelle's Front Room",pizza_restaurant,667,"https://www.cybellesorder.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Morris",american_restaurant,665,"http://www.themorris-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Dirty Habit",restaurant,661,"http://www.dirtyhabitsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kippu",sushi_restaurant,656,"http://www.kippusushi.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pearl 6101",restaurant,653,"http://www.pearl-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kiki Japanese",japanese_restaurant,651,"https://www.kikisushi.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Rad Radish",restaurant,648,"https://eatradradish.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Troya Restaurant",mediterranean_restaurant,645,"https://www.troyasf.com/","restaurant w/ working site (alcohol-only policy)"
