action,venue,primary_type,website,reason
keep,"Bar Darling",cocktail_bar,"http://www.bardarlingsf.com/","alcohol-positive type/name"
keep,"Barebottle Brewing Company",brewery,"http://www.barebottle.com/","alcohol-positive type/name"
keep,"Bar Gemini",wine_bar,"https://bargeminisf.com/","alcohol-positive type/name"
keep,"Bar & Grill | Lincoln Park",bar_and_grill,"","alcohol-positive type/name"
keep,"Bar Iris",cocktail_bar,"https://www.bar-iris.com/","alcohol-positive type/name"
keep,"Bar Part Time",wine_bar,"http://barparttime.com/","alcohol-positive type/name"
keep,"Bar Piccino",cocktail_bar,"http://www.barpiccino.com/","alcohol-positive type/name"
keep,"Barrio",mexican_restaurant,"http://barriosf.com/","alcohol-positive type/name"
keep,"Bar Sprezzatura",restaurant,"http://barsprezzatura.com/","alcohol-positive type/name"
keep,"BarVIA",bar,"http://www.hotelviasf.com/","alcohol-positive type/name"
keep,"Bear Vs. Bull",bar,"https://drafthouse.com/sf/theater-bar/new-mission","alcohol-positive type/name"
keep,"Beauty Bar",bar,"https://www.beautybarsf.com/","alcohol-positive type/name"
keep,"Beit Rima",middle_eastern_restaurant,"http://beitrimasf.com/","live site — crowdsource stub"
keep,"Belle Cora",bar,"http://thebellecora.com/","alcohol-positive type/name"
keep,"Bender's Bar & Grill",bar_and_grill,"http://www.bendersbar.com/","alcohol-positive type/name"
keep,"Beso Mae Cocktail Lounge",bar,"","alcohol-positive type/name"
keep,"Betty Lou's Seafood & Grill",seafood_restaurant,"https://bettylousseafoodandgrill.com/","live site — crowdsource stub"
keep,"Biergarten",german_restaurant,"http://www.biergartensf.com/","alcohol-positive type/name"
keep,"Big Fish House",japanese_restaurant,"https://www.bigfishhouseusa.com/","alcohol-positive type/name"
keep,"Bistro Central Parc Restaurant",restaurant,"https://bistrocentralparcsf.com/","live site — crowdsource stub"
keep,"Bistro Gambrinus",brewpub,"http://www.dziuggy.com/gbr/index.html","alcohol-positive type/name"
keep,"Bistro La Chaumière",french_restaurant,"http://chaumieresf.com/","live site — crowdsource stub"
keep,"Bix",fine_dining_restaurant,"http://www.bixrestaurant.com/","alcohol-positive type/name"
keep,"Black Horse London Pub",bar,"http://www.blackhorselondon.com/","alcohol-positive type/name"
keep,"Blind Butcher",american_restaurant,"https://blindbutcher.com/","live site — crowdsource stub"
keep,"BlindPig Speakeasy Lounge",cocktail_bar,"http://blindpigspeakeasy.com/","alcohol-positive type/name"
keep,"Blondie's Bar",bar,"https://blondiesbarsf.com/?y_source=1_MjMyMTYwOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","alcohol-positive type/name"
keep,"Blooms Saloon",bar,"","alcohol-positive type/name"
keep,"Bobo's",steak_house,"https://www.bobossf.com/","live site — crowdsource stub"
keep,"Bodega North Beach",wine_bar,"http://instagram.com/bodegasf","alcohol-positive type/name"
keep,"Boom Boom Room",live_music_venue,"https://www.boomboomroom.com/","alcohol-positive type/name"
keep,"Bosco",italian_restaurant,"https://www.boscosf.com/","live site — crowdsource stub"
keep,"Bottega",italian_restaurant,"http://www.bottegavalencia.com/","alcohol-positive type/name"
keep,"Bottle Club Pub",pub,"http://bottleclubpub.com/","alcohol-positive type/name"
keep,"Bouche",french_restaurant,"http://www.bouchesf.com/","alcohol-positive type/name"
keep,"Boudin Bakery",restaurant,"https://www.bistroboudin.com/","alcohol-positive type/name"
keep,"Bourbon & Branch",cocktail_bar,"http://www.bourbonandbranch.com/","alcohol-positive type/name"
keep,"Brasa Bros",restaurant,"https://www.brasa-bros.com/","live site — crowdsource stub"
keep,"Bravo Pizza",pizza_restaurant,"https://app.heyeats.shop/store/bravo-pizza/shop","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Brick & Beam",restaurant,"https://www.hyatt.com/hyatt-centric/sfofw-hyatt-centric-fishermans-wharf/dining","alcohol-positive type/name"
keep,"Brioche Bakery & Cafe",brunch_restaurant,"http://www.briochecafe.com/","alcohol-positive type/name"
keep,"Brioche Bakery & Café",french_restaurant,"http://www.briochecafe.com/","live site — crowdsource stub"
keep,"B-Side",bar,"http://www.b-sidesf.com/","alcohol-positive type/name"
keep,"Bubba Gump Shrimp Co.",seafood_restaurant,"https://www.bubbagump.com/location/bubba-gump-san-francisco-ca/","live site — crowdsource stub"
keep,"Buddha Lounge",bar,"","alcohol-positive type/name"
keep,"buddy",wine_bar,"http://www.buddythebar.com/","alcohol-positive type/name"
keep,"Buena Vida Cantina on Belden",mexican_restaurant,"http://cantinaonbelden.com/","alcohol-positive type/name"
keep,"Burma Love",asian_restaurant,"https://www.burmalove.co/","live site — crowdsource stub"
