name,amenity,cuisine,website,lat,lng,osm_id
Boogaloos,restaurant,diner,http://www.boogaloossf.com,37.7554246,-122.4208414,node/10000412135
Bottom of the Hill,bar,,https://bottomofthehill.com/,37.7649251,-122.3964114,way/267242909
Boudin Bakery & Cafe,restaurant,sandwich,https://www.boudinbakery.com/index.cfm,37.7949094,-122.3956931,node/4309710472
Boulevard,restaurant,,https://www.boulevardrestaurant.com/,37.7932361,-122.3928913,node/3772756743
Breakfast at Tiffany's,restaurant,breakfast;sandwich,https://www.breakfastattiffanyssf.com/,37.7304529,-122.4046218,node/4951863007
Breakthrough Sushi,restaurant,sushi,https://www.breakthroughsushi.com/,37.7928127,-122.4009669,node/13521684996
Brenda's French Soul Food,restaurant,southern;american,https://www.frenchsoulfood.com,37.7829055,-122.4188973,way/256045025
Brenda's Meat & Three,restaurant,southern;comfort;american,https://brendasmeatandthree.com/,37.7781619,-122.4386981,way/261725040
Buckhorn,restaurant,barbecue,https://buckhorngrill.com/locations/sf-metreon/,37.783939,-122.4028338,node/2026996046
Bullitt,bar,,https://www.bullittsf.com/,37.7970951,-122.4221642,node/2167447455
BullsHead Restaurant,restaurant,steak_house;american,https://www.bullsheadsf.com/,37.7408551,-122.4654894,node/2131859543
Bun Mee,restaurant,sandwich;vietnamese,https://bunmee.co/financial-district,37.7884472,-122.4028946,node/4271092100
Burke & Black,restaurant,,https://www.burkeandblack.com/,37.781604,-122.4169468,node/9721165699
Burma Superstar,restaurant,asian,https://www.burmasuperstar.com/,37.7829134,-122.4625652,node/1769223515
Bursa,restaurant,mediterranean,https://bursasf.com/,37.7402685,-122.4666717,node/3540104223
Cafe Mason,restaurant,international;mexican,https://www.masondiner.com/,37.7866072,-122.409593,node/383502127
Cafe Tiramisu,restaurant,italian,https://tiramisusf.com/,37.7912153,-122.4036238,way/148741774
Caffè Macaroni,restaurant,italian,https://www.caffemacaroni.com/,37.7961374,-122.4044342,node/2382511308
California Wine Merchant,bar,,https://www.californiawinemerchant.com/,37.8004562,-122.4382664,node/9341171152
Canna Bistro,restaurant,,https://www.cannabistrotogo.com,37.798227,-122.4049157,node/8511753925
Capital Restaurant,restaurant,,http://www.capitalsf.com,37.7940933,-122.407062,node/4336167126
Casa de la Condesa,restaurant,mexican,https://www.casadelacondesa.com,37.7529042,-122.4183693,node/13393504106
Casario Ostaria,restaurant,italian,https://www.casaroosteria.com/,37.7973194,-122.4344795,node/4509844217
Casey's Pizza,restaurant,pizza,https://caseyspizzas.square.site/,37.7736563,-122.3916761,node/5512661856
CDXX,restaurant,regional,http://cdxx.co/,37.7254574,-122.394522,node/3171572682
Cervecería de MateVeza,bar,empanada,http://cerveceriasf.com/,37.761163,-122.4285438,node/2629113680
Chavita's Mexican Restaurant,restaurant,mexican,https://www.chavitasca.com/,37.7488505,-122.418295,node/4945080616
Che Fico,restaurant,italian,https://www.chefico.com,37.7774418,-122.4380351,node/6835899035
